big_kind,kind,title,body,,,,,,,
0,0,[안내] 치과를 위한 디지털 진료 전환 서비스 저스트스캔입니다.,치과를 위한 디지털 진료 전환 서비스 저스트스캔입니다.,,,,,,,
0,0,[업데이트] 주문서 작성시 이전 주문서가 로딩됩니다. (임시 치아 -> 크라운),- 직전 주문이 C.A + 임시 치아일 경우/ 다음 주문서 작성시 환자명을 인식하여 직전 주문과 똑같은 치식으로 선택되고 보철은 크라운으로 자동 작성됩니다. 주문자의 클릭 수를 줄여 편의성을 높이기 위한 기능입니다. 참고해주세요 :)* 기존 주문서를 무시하고 새로운 주문서를 작성하고 싶은 경우/ 아래 '새로운 보철 추가'로 새 주문 작성/ 기존 주문은 삭제하시면 됩니다.* 사진/ 추가 정보 등의 변경으로 자동 로딩이 불편한 경우 필요 없는 정보는 초기화하겠습니다. 혹시 불편한 자동 저장 메뉴가 있으면 의견 부탁드립니다 :),,,,,,,
0,0,[업데이트] 신규 채팅 메시지 알림 기능 변경,- 채팅에 신규 메시지 알림 기능이 계정마다 개별적으로 동작하도록 변경되었습니다.- 주문에 배정된 담당자(위생사) 계정과 치과 운영 계정(전체 관리자)에게만 알림 표시가 가도록 변경되었습니다.- '설정 > 계정 설정 > 의사 계정 or 서브 계정'에서 '모든 메시지 수신'항목을 체크해서 모든 메시지에 대한 알림 표시를 받을 수 있게 설정할 수도 있습니다.,,,,,,,
0,0,[안내] 고객 지원 문의 방법 & 운영 시간 안내,<h4>- 고객센터와 채팅: 우측 상단 '채팅' 모양 아이콘을 클릭하여 서비스센터와 채팅을 할 수 있습니다. 이전에 보냈던 대화 내용이 날짜/시간순으로 기록되어서 이전 문의 내용을 쉽게 찾아볼 수 있습니다.</h4><p><br></p><h4>- 1:1 문의: 우측 상단 '고객지원 &gt; 1:1 문의'를 통해 서비스 이용 문의를 할 수 있습니다. 답변이 등록되면 고객지원에 옆에 N 표시가 나타납니다.</h4><p><br></p><h4>- 자주 하는 질문: 우측 상단 '고객지원 &gt; 자주하는 질문'을 클릭해 저스트 스캔이 자주 받은 질문과 그에 대한 답변을 확인할 수 있습니다.</h4><p><br></p><h4>- 고객센터 운영 시간은 평일 9시 30분부터 18시 30분까지입니다.</h4><p><br></p><h4>- 고객센터 점심시간은 평일 13시부터 14시 30분까지입니다.</h4><h4><br></h4>,,,,,,,
0,0,[안내] 설 명절 21~24일 휴무 안내,2023년 계묘년 새해가 밝았습니다.늘 건강하시고 가정에 평안이 가득하시길 기원합니다.- 설 명절 [2023.01.21~24] 기간 동안 제작/배송/고객센터 휴무임을 알려드립니다.감사합니다.,,,,,,,
0,0,[안내] 요금 결제를 위한 신용카드 등록 안내,"<p>치과 운영계정 로그인 &gt; Menu &gt; 결제 &gt; 신용카드 에서 요금 결제를 위한 신용카드 등록이 가능하고 등록된 카드에서 <strong>매월 11일 자동 결제</strong>가 이루어집니다.</p><p>카드 등록은 여러개가 가능하며 체크 표시한 카드로 결제가 진행됩니다.</p><ul><li><p>카드 인지를 위해 별칭과 함께 등록할 수 있으며 카드 번호를 포함해서 어떠한 정보도 저장되지 않습니다.(결제를 위한 빌링키만 관리)</p></li><li><p>최초 별칭 등록시에 카드 번호 마지막 4자리만 함께 별칭 저장해드립니다.(이후 이용자에 의해 수정 가능)</p></li><li><p>카드 등록시 확인을 위해 100원이 실제로 결제되며 이 결제 금액은 취소처리됩니다.</p><p><br></p><p><img src="" alt=image.png"" contenteditable=""false""><br></p></li></ul>""",,,,,,,
0,0,[업데이트] 고객지원/ 자주하는 질문 퀵메뉴 생성(좌측 하단),"<ul><li><p>기존에 우측 상단에 있던 고객지원 페이지가 접근 편의성 증대를 위해 좌측하단에도 생성되었습니다.</p></li><li><p>고객지원에서 저스트스캔의 공지사항 및 이용안내 등을 찾아보실 수 있습니다.</p></li><li><p>자주하는 질문에서 웹페이지 이용시 도움이 되는 질문과 답변을 찾아보실 수 있습니다.</p></li></ul><p class=https://gloud-image.s3.ap-northeast-2.amazonaws.com/file/15eb9d95-9a49-40ad-8d01-ce8052b4134a.png""><img src=""https://gloud-image.s3.ap-northeast-2.amazonaws.com/file/15eb9d95-9a49-40ad-8d01-ce8052b4134a.png"" alt=""image.png"" contenteditable=""false""><br></p><p><br></p>""",,,,,,,
0,0,[안내] 청구서와 거래 명세서,"<h1><strong>청구서</strong></h1><h3>매월 4일은 전월 1일 ~ 말일의 주문에 대해 청구가 이루어지는 날입니다.</h3><p><br></p><p>- 청구서 발행시 4일부터 10일까지 왼쪽 결제창 옆에 우편 모양 이모티콘이 생성되고 청구서를 확인할 수 있습니다. (치과 운영계정에서만 확인이 가능합니다.)</p><p>- 전원 1일~ 말일이 환자 내원일인 주문에 대해 청구됩니다</p><p>- 결제 이후에는 청구서는 사라지며 거래명세서에서 해당하는 달의 결제 내역을 조회할 수 있습니다.</p><p><br></p><p><img src="" alt=image.png"" contenteditable=""false""><br></p><p><br></p><h1><strong>거래명세서</strong></h1><h3>매 월 결제일에 결제 진행된 청구건입니다.</h3><p><br></p><p>- 청구일 이후 거래 내역 확인은 거래명세서에서 확인하실 수 있습니다. (치과 운영계정에서만 확인이 가능합니다.)</p>""",,,,,,,
0,0,[업데이트] 주문서 신규 항목 추가 (컨택 레진박스 형성/ 임시치아 여유분 추가/ 멀티레이어 블럭),"<h4><strong>&lt;컨택 레진박스 형성 항목 추가&gt;</strong></h4><ol><li><p>임플란트 크라운 지르코니아 선택 시 해당</p></li><li><p>색상 지정 항목 아래에 컨택 레진박스 형성을 체크할 수 있는 항목 적용</p></li></ol><h4><br></h4><h4><strong>&lt;임시치아 여유분 추가&gt;</strong></h4><ol><li><p>크라운 &gt; 임시치아 선택 시 해당</p></li><li><p>여유분 추가 항목 신규 추가</p></li></ol><h4><br></h4><h4><strong>&lt;멀티레이어블럭&gt;</strong></h4><ol><li><p>지르코니아가 포함된 보철 선택 시 해당</p></li><li><p>멀티레이어블럭 항목 신규 추가</p></li></ol><p><br></p><p><img src="" alt=image.png"" contenteditable=""false""><br></p><p><br></p><p><br></p><p><img src="""" alt=""스크린샷 2023-02-20 오전 10.20.46.png"" contenteditable=""false""><br></p><p><br></p><p><br></p>""",,,,,,,
0,0,[안내] 잔여 캐쉬/ 잔여 포인트 확인 방법,"<h4>치과 운영계정 로그인 후 결제 항목에서 캐쉬 및 포인트 확인 가능</h4><p><img src="" alt=image.png"" contenteditable=""false""><br></p><h5>- 해당 하는 메뉴에서 적립 및 사용 내역을 확인하실 수 있습니다.</h5>""",,,,,,,
